https://dfkanalytics.vercel.app/hero

Cost,Realm,Id,Rarity,Class,Subclass,Background,Lvl,XP To Level,Gen,Sum,SB1,SB2,Train Stat,Profession,PJ,Element,Class Score,CScore/Level,Growth Score,Active1,Active2,Passive1,Passive2,Name
49,SD,264306,0,Archer,Pirate,mountains,1,2000,3,4,DEX,STR,15,mining,,water,1.60,1.60,0.577,Basic1,Basic3,Advanced4,Basic3,Vhassahran Cannirappa
49,SD,256673,0,Thief,Wizard,plains,1,1370,2,3,WIS,LCK,13,mining,,ice,0.70,0.70,0.495,Basic8,Basic1,Basic5,Basic7,Storr Summercaller
49,SD,265853,0,Wizard,Pirate,swamp,1,2000,2,4,AGI,LCK,12,gardening,,light,0.80,0.80,0.458,Basic8,Basic5,Basic4,Basic1,Charlton Mountainrunner
49,SD,255164,1,Warrior,Berserker,swamp,1,1730,2,5,AGI,INT,12,gardening,,lightning,2.25,2.25,0.801,Basic1,Basic5,Advanced3,Basic1,Zazriel Runehair
49,SD,257405,0,Ninja,Archer,city,1,504,3,0,DEX,LCK,13,mining,,lightning,1.50,1.50,0.707,Basic6,Basic8,Basic8,Basic1,Ovras Meadowkeeper
49,SD,265968,0,Thief,Thief,mountains,1,2000,3,4,VIT,END,10,gardening,,earth,1.00,1.00,0.566,Basic5,Basic7,Basic4,Basic1,Shane Bouldersurge
49,SD,239930,0,Berserker,Priest,arctic,1,1475,1,5,STR,WIS,17,gardening,,earth,2.20,2.20,0.458,Basic4,Basic2,Basic8,Basic5,Trephiar Rabitax
49,SD,254885,0,Thief,Knight,forest,1,2000,2,3,AGI,VIT,13,gardening,,earth,1.40,1.40,0.550,Basic7,Basic7,Basic6,Basic7,Dian Frostarm
49,SD,249729,1,Warrior,Priest,mountains,1,1680,4,4,LCK,VIT,17,gardening,,dark,5.10,5.10,0.754,Basic3,Basic8,Basic3,Basic2,Hildad Fuseorb
49,SD,254452,0,Thief,Monk,mountains,1,920,2,3,DEX,VIT,11,mining,,water,1.10,1.10,0.545,Basic1,Basic1,Advanced4,Basic4,Theophane Fistbeard
49,SD,254903,0,Pirate,Archer,island,1,1850,5,5,DEX,DEX,16,gardening,,earth,2.70,2.70,0.586,Basic6,Basic8,Basic3,Basic4,Mudrius Woodgard
49,SD,245837,0,Thief,Thief,plains,1,1550,2,4,STR,DEX,11,mining,,earth,1.10,1.10,0.572,Basic8,Basic2,Basic6,Basic2,Bronja Wendwater
49,SD,254426,1,Warrior,Wizard,city,1,2000,2,5,STR,VIT,14,gardening,,ice,2.60,2.60,0.683,Basic5,Basic8,Basic3,Basic5,Solvarr Greendarter
49,SD,265193,0,Warrior,Berserker,swamp,1,2000,2,2,VIT,AGI,12,gardening,,ice,1.30,1.30,0.627,Basic1,Basic6,Basic8,Basic6,Honoria Earthenseeker
49,SD,265653,0,Pirate,Wizard,city,1,2000,3,3,END,INT,10,gardening,,fire,1.10,1.10,0.446,Basic6,Basic2,Basic7,Basic1,Flaererah Proudgust
49,SD,265684,0,Thief,Seer,swamp,1,2000,2,3,LCK,AGI,13,gardening,,light,1.30,1.30,0.510,Basic6,Basic4,Advanced4,Basic3,Druthelthual Cedarcleanser
49.5,SD,207773,0,Shapeshifter,Warrior,island,2,1844,3,1,LCK,WIS,13,gardening,,earth,3.55,1.77,0.854,Basic7,Basic2,Basic4,Basic5,Dhidel Primebara
49.5,SD,246112,0,Summoner,Paladin,arctic,1,0,2,0,DEX,VIT,14,mining,,light,0.90,0.90,0.744,Basic4,Basic5,Basic6,Basic5,Ibarin Mourningshout
49.8,SD,259335,0,Summoner,Warrior,city,1,2000,4,0,INT,WIS,17,mining,,lightning,1.70,1.70,0.639,Basic3,Basic4,Basic7,Basic7,Zullial Auranulon
49.9,SD,263098,0,Archer,Monk,forest,1,1730,2,7,AGI,LCK,12,gardening,,lightning,1.00,1.00,0.545,Basic8,Basic3,Basic3,Basic8,Qremarim Titanrigar
49.9,SD,256814,0,DarkKnight,Berserker,city,1,0,3,0,INT,LCK,14,gardening,,wind,1.40,1.40,0.710,Basic1,Basic6,Basic6,Basic3,Aneroyor Lunaspear
50,SD,259706,0,Warrior,Seer,island,1,2000,2,4,END,VIT,12,gardening,,dark,1.30,1.30,0.501,Basic4,Basic3,Basic7,Basic3,Skaldar Grovewatch
50,SD,261921,0,Ninja,Warrior,forest,1,1775,6,1,LCK,DEX,13,gardening,,wind,1.20,1.20,0.709,Basic5,Basic5,Advanced1,Basic3,Brenden Raindrinker
50,SD,180404,0,DarkKnight,Monk,island,2,0,3,1,WIS,WIS,16,gardening,,ice,3.39,1.70,0.677,Basic7,Basic8,Basic8,Basic3,Iraninar Diablogira
50,SD,266254,0,Pirate,Pirate,city,1,1895,3,6,LCK,STR,13,gardening,,fire,1.10,1.10,0.611,Basic1,Basic2,Advanced1,Basic1,Neeske Emerigar
50,SD,263302,0,Thief,Warrior,swamp,1,2000,3,0,END,LCK,13,mining,,light,0.90,0.90,0.567,Advanced2,Basic6,Basic1,Basic6,Basho Forestride
50,SD,264168,0,Wizard,Pirate,desert,1,2000,3,2,INT,DEX,15,mining,,wind,2.80,2.80,0.476,Basic3,Advanced3,Basic2,Basic5,Ray Skullsorrow
50,SD,265612,0,Berserker,Archer,city,1,2000,4,4,LCK,LCK,14,gardening,,lightning,1.60,1.60,0.582,Basic3,Advanced1,Basic7,Basic1,Maegoyor Battleblight
50,SD,263623,1,Knight,Wizard,swamp,1,1813,4,0,STR,LCK,13,fishing,,lightning,1.85,1.85,0.672,Basic7,Basic2,Basic8,Basic8,Trace Boulderaxe
50,SD,254929,0,Wizard,Knight,plains,1,0,2,7,DEX,END,12,gardening,,dark,0.60,0.60,0.481,Basic4,Basic1,Basic5,Basic2,Zeld Scorgo
50,SD,265783,0,Ninja,Monk,swamp,1,1830,5,2,DEX,VIT,13,gardening,,water,1.50,1.50,0.687,Basic5,Basic3,Basic2,Basic2,Gedil Grizzlygrip
50,SD,264975,0,Archer,Ninja,city,1,2000,5,3,STR,VIT,12,fishing,,wind,1.50,1.50,0.613,Basic7,Basic3,Basic4,Basic1,Akros Mirthrun
50,SD,245275,0,Warrior,Priest,city,1,1250,3,5,AGI,INT,11,gardening,,earth,1.00,1.00,0.474,Basic3,Basic7,Basic8,Basic8,Myraea Phanlaria
50,SD,265928,0,Warrior,Archer,forest,1,2000,3,5,WIS,STR,14,gardening,,earth,0.40,0.40,0.612,Basic8,Basic5,Basic4,Basic5,Truesdale Whitehill
50,SD,262690,0,Thief,Berserker,city,1,2000,4,1,LCK,DEX,13,mining,,wind,1.30,1.30,0.565,Advanced3,Basic1,Basic2,Basic4,Rhenaia Barrin
50,SD,263168,0,Archer,Archer,swamp,1,2000,4,0,VIT,LCK,17,mining,,wind,5.00,5.00,0.634,Basic8,Basic6,Basic4,Basic4,Qrilore Stormera
50,SD,265817,1,Thief,Knight,desert,1,2000,2,4,LCK,WIS,13,gardening,,light,2.55,2.55,0.741,Advanced1,Basic4,Basic3,Basic2,Yseult Moonspire
50,SD,242373,0,Priest,Pirate,forest,1,0,1,4,STR,AGI,15,gardening,,light,2.20,2.20,0.466,Basic7,Basic8,Basic5,Basic8,Qihana Dawtul
50,SD,262224,0,Warrior,Archer,swamp,1,2000,3,6,VIT,END,12,gardening,,ice,1.30,1.30,0.606,Basic8,Basic5,Basic4,Basic4,Agaromela Fistbeard
50,SD,266056,0,Ninja,Pirate,swamp,1,2000,5,2,LCK,DEX,13,gardening,,dark,2.80,2.80,0.754,Basic4,Basic2,Basic8,Basic8,Lioslangheil Ironlight
50,SD,249191,0,Thief,Wizard,forest,1,2000,2,4,VIT,END,10,gardening,,lightning,1.00,1.00,0.483,Basic8,Basic2,Basic1,Basic8,Wendi Monsterdancer
50,SD,254860,1,Thief,Knight,island,1,2000,3,1,WIS,END,11,gardening,,ice,1.95,1.95,0.747,Basic5,Basic1,Basic1,Basic6,Druwix Stormcrest
50,SD,242684,0,Thief,Pirate,swamp,1,2000,1,4,STR,AGI,13,gardening,,lightning,2.30,2.30,0.578,Basic1,Basic5,Advanced4,Basic1,Cedrenron Singlemore
50,SD,226009,1,Thief,Ninja,plains,2,1191,1,0,VIT,END,12,gardening,,light,4.09,2.04,0.819,Basic1,Basic1,Basic4,Basic5,Moina Sacredhorn
50,SD,253642,0,Monk,Priest,island,1,2000,3,5,STR,AGI,12,gardening,,fire,4.20,4.20,0.565,Basic6,Basic7,Basic4,Basic8,Obronros Driftbasker
50,SD,232507,0,Berserker,Pirate,desert,2,1985,5,1,END,INT,17,gardening,,wind,3.47,1.74,0.581,Advanced4,Basic3,Basic2,Basic8,Brady Mournbender
50,SD,263632,0,Priest,Warrior,swamp,1,2000,2,4,STR,DEX,13,gardening,,lightning,0.60,0.60,0.465,Basic4,Basic2,Advanced4,Basic1,Ygnora Titalak
50,SD,259675,0,DarkKnight,Berserker,city,1,2000,5,0,WIS,LCK,14,gardening,,light,0.70,0.70,0.710,Basic1,Basic3,Basic7,Basic8,Adam Lionreaver
50,SD,252151,0,Wizard,Warrior,swamp,1,2000,1,4,VIT,LCK,12,gardening,,dark,1.70,1.70,0.460,Basic7,Basic3,Basic8,Basic4,Frothrot Y'rhotcheh
50,SD,256841,0,Warrior,Knight,city,1,2000,4,4,STR,INT,14,gardening,,dark,1.50,1.50,0.610,Basic4,Basic8,Basic2,Advanced3,Bahaar Daysnout
50,SD,264603,0,Archer,Monk,arctic,1,2000,3,6,END,LCK,12,mining,,light,1.20,1.20,0.545,Basic3,Basic8,Basic6,Basic3,Joie Flametalon
50,SD,240174,1,Knight,Warrior,mountains,2,1866,2,0,AGI,AGI,12,fishing,,ice,3.01,1.50,0.808,Basic1,Basic3,Basic7,Basic4,Chloris Monsterfire
50,SD,265728,0,Thief,Knight,swamp,1,1887,2,5,DEX,VIT,11,foraging,,lightning,3.30,3.30,0.594,Advanced1,Basic7,Basic5,Basic8,Taylor Wildcaller
50,SD,185024,0,Knight,Priest,plains,1,2000,6,1,STR,AGI,13,gardening,,light,3.20,3.20,0.528,Basic4,Basic8,Basic2,Basic1,Alial Hollowseeker
50.3,SD,238206,0,Ninja,Thief,island,2,2212,4,0,INT,DEX,18,gardening,,earth,5.94,2.97,0.806,Basic5,Basic7,Basic6,Basic4,Moina Lunatide
50.3,SD,261665,1,Pirate,Archer,island,1,2000,3,3,STR,LCK,13,gardening,,fire,2.85,2.85,0.777,Basic5,Basic7,Basic3,Advanced1,Thaphunlon Thornsmile
50.3,SD,256626,0,Pirate,Paladin,swamp,1,2000,4,3,LCK,AGI,13,gardening,,earth,1.10,1.10,0.616,Basic4,Basic8,Basic7,Basic5,Kasyllis Paleshine
51,SD,264706,0,Monk,Berserker,mountains,1,1925,2,5,LCK,DEX,11,foraging,,earth,0.60,0.60,0.576,Basic3,Basic1,Basic8,Basic4,Tatyana Whitesoar
51,SD,247424,1,Thief,Pirate,mountains,1,0,2,3,STR,LCK,14,gardening,,wind,2.10,2.10,0.775,Basic3,Basic7,Basic5,Basic7,Elisa Summershifter
51,SD,260343,1,Archer,Knight,desert,1,2000,3,5,LCK,INT,12,gardening,,dark,1.80,1.80,0.763,Basic4,Basic3,Basic6,Basic6,Rab Ravensnout
51,SD,262047,0,Priest,Archer,forest,1,1190,2,5,AGI,INT,13,foraging,,light,0.80,0.80,0.506,Basic1,Basic8,Basic6,Basic6,Oneus Glayah
51,SD,261888,0,Pirate,Summoner,arctic,1,1542,4,1,STR,AGI,16,mining,,light,4.40,4.40,0.624,Basic3,Basic1,Basic6,Basic4,Savannah Ethergira
51,SD,231088,0,Archer,Wizard,forest,2,0,3,7,VIT,INT,12,mining,,lightning,2.11,1.05,0.483,Basic6,Basic2,Basic2,Basic4,Énnlosh Nightshout
51,SD,263910,0,Wizard,Pirate,desert,1,1860,3,3,DEX,WIS,15,mining,,ice,0.60,0.60,0.482,Basic5,Basic7,Basic7,Basic4,Stassiros Roughglide
51,SD,259858,0,Knight,Monk,swamp,1,2000,3,5,STR,INT,13,gardening,,wind,1.40,1.40,0.553,Basic6,Basic3,Basic3,Advanced3,Sorrerah Meadowshard
51,SD,259522,0,Warrior,Wizard,mountains,1,2000,4,7,STR,VIT,14,gardening,,water,1.50,1.50,0.490,Basic8,Basic8,Basic3,Basic5,Harsolt Fiegaru
51,SD,251951,0,Pirate,Seer,arctic,1,1200,1,3,INT,INT,15,mining,,dark,3.85,3.85,0.497,Basic2,Basic1,Basic5,Basic2,Jerome Fiegaru
51,SD,262409,0,Summoner,Thief,plains,1,1378,3,0,END,DEX,14,fishing,,dark,1.00,1.00,0.628,Basic1,Basic1,Basic5,Basic5,Tafis Chaffton
51,SD,24677,0,Thief,Warrior,plains,1,144,1,3,VIT,LCK,13,gardening,,dark,1.00,1.00,0.564,Basic8,Basic3,Basic8,Basic7,Exeor Moltenreaper
51.5,SD,250282,0,Priest,Knight,forest,1,1037,1,3,VIT,END,15,gardening,,ice,2.60,2.60,0.501,Basic2,Basic7,Basic8,Basic7,Sireaghói Cannimera
51.5,SD,249820,1,Ninja,Berserker,mountains,1,0,3,0,END,STR,13,gardening,,fire,2.15,2.15,0.949,Basic5,Basic1,Basic5,Basic2,Azore Willowfall
51.5,SD,253419,1,Summoner,Pirate,city,1,757,2,0,LCK,END,14,mining,,dark,1.65,1.65,0.867,Basic6,Basic5,Basic2,Basic3,Edwardson Clearash
51.7,SD,265375,0,Pirate,Berserker,arctic,1,2000,4,4,AGI,END,10,gardening,,wind,1.00,1.00,0.602,Basic1,Basic5,Basic1,Basic8,Sunnial Aspentemper
51.99,SD,266039,0,Priest,Priest,mountains,1,2000,2,1,LCK,DEX,13,fishing,,water,0.80,0.80,0.578,Basic3,Basic7,Basic6,Basic5,Amphitrite Chaotor
51.99,SD,264054,0,Knight,Knight,desert,1,2000,3,4,STR,LCK,13,foraging,,lightning,1.40,1.40,0.607,Basic3,Basic1,Advanced1,Basic2,Zenid Mall
52,SD,188643,0,Thief,Thief,plains,1,784,2,4,INT,END,10,mining,,water,0.50,0.50,0.566,Basic2,Basic6,Basic1,Basic1,Nesgereth Valleywander
52,SD,254973,0,Ninja,Priest,mountains,1,418,3,0,AGI,END,15,gardening,,lightning,1.70,1.70,0.632,Basic4,Basic8,Advanced3,Basic7,Sormidoc Snowbraids
52,SD,263582,1,Archer,Pirate,arctic,1,2000,2,5,DEX,END,15,gardening,,light,2.55,2.55,0.780,Basic4,Basic5,Basic2,Basic4,Bragrag Ashbraid
52,SD,256602,0,Archer,Thief,forest,1,2000,3,5,DEX,LCK,15,mining,,light,1.60,1.60,0.539,Basic8,Basic4,Basic2,Basic7,Ostren Sunwatch
52,SD,246257,0,Priest,Pirate,plains,2,2884,3,7,AGI,STR,15,gardening,,light,2.06,1.03,0.460,Basic5,Basic4,Basic5,Basic5,Livia Foreriver
52,SD,259002,0,Archer,Monk,island,1,2000,3,3,VIT,INT,12,mining,,fire,1.00,1.00,0.545,Advanced4,Basic2,Basic1,Basic1,Regradoc Woodmangle
52,SD,260909,0,Ninja,Shapeshifter,plains,1,485,4,0,END,STR,12,mining,,lightning,0.80,0.80,0.791,Basic4,Basic8,Basic7,Advanced3,Tracy Suprevern
52,SD,260541,0,Priest,Thief,forest,1,2000,2,7,DEX,LCK,13,gardening,,water,0.60,0.60,0.485,Basic4,Basic7,Basic6,Basic1,Varlith Greenslumber
52,SD,257027,0,Monk,Pirate,swamp,1,689,2,5,STR,DEX,11,foraging,,fire,1.20,1.20,0.565,Basic5,Basic7,Basic4,Basic1,Hedwig Wern
52,SD,246195,0,Summoner,Knight,mountains,1,686,3,0,INT,VIT,17,mining,,dark,1.70,1.70,0.623,Basic2,Basic2,Basic3,Basic2,Holakrana Birchchaser
52,SD,246865,1,Archer,Archer,island,2,2852,2,0,INT,LCK,15,gardening,,lightning,7.37,3.69,0.810,Advanced3,Basic4,Basic5,Basic7,Alnsorn Grassmane
52,SD,263368,0,Pirate,Priest,city,1,2000,2,6,LCK,DEX,13,mining,,dark,1.10,1.10,0.484,Basic7,Basic5,Basic7,Basic1,Darcia Greatdane
52,SD,235722,0,Pirate,Berserker,island,1,995,2,6,LCK,INT,13,mining,,wind,1.10,1.10,0.581,Basic8,Advanced1,Basic1,Basic1,Ireris Willowvoice
52,SD,243652,0,Wizard,Seer,desert,1,1085,2,3,AGI,VIT,12,mining,,ice,0.80,0.80,0.590,Basic4,Basic7,Basic7,Basic8,Hekeira Oakendancer
52,SD,265906,0,Wizard,Thief,swamp,1,2000,2,7,INT,STR,15,gardening,,lightning,1.60,1.60,0.474,Basic5,Basic8,Basic6,Basic3,Caeanassa Pyrestar
52,SD,79314,0,Monk,Knight,forest,2,156,1,3,LCK,STR,12,gardening,,wind,1.91,0.95,0.577,Basic8,Basic7,Basic2,Basic4,Dalila Deephammer
52,SD,258049,0,Knight,Wizard,swamp,1,2000,3,7,VIT,INT,13,gardening,,dark,1.50,1.50,0.463,Basic8,Basic5,Basic3,Basic4,Idaise Ryger
52,SD,248495,0,Summoner,Monk,island,1,1540,3,0,INT,DEX,17,gardening,,ice,1.70,1.70,0.652,Basic1,Basic6,Basic6,Basic8,Brielle Hazehair
52,SD,175714,1,Monk,Thief,plains,1,1460,2,4,LCK,END,14,gardening,,lightning,2.70,2.70,0.772,Basic2,Basic6,Basic7,Advanced1,Unos Crowhammer
52,SD,188271,0,Thief,Monk,island,1,618,2,3,VIT,STR,10,mining,,fire,1.00,1.00,0.548,Basic8,Basic2,Basic8,Basic2,Struana Grizzlygrip
52,SD,256649,0,Archer,Thief,island,1,2000,1,3,INT,END,12,mining,,dark,1.90,1.90,0.551,Basic1,Basic7,Basic8,Basic3,Aístosaí Dayforce
52,SD,205765,0,Ninja,Archer,city,1,0,2,0,AGI,AGI,18,gardening,,earth,1.70,1.70,0.724,Basic5,Basic6,Basic8,Basic6,Avonmora Timbergatherer
52,SD,260027,1,Archer,Warrior,plains,1,2000,3,5,DEX,END,15,gardening,,wind,2.70,2.70,0.788,Basic6,Basic5,Basic5,Basic1,Ryder Volesari
52,SD,263605,0,Monk,Archer,desert,1,2000,2,6,STR,END,11,foraging,,earth,1.20,1.20,0.554,Basic8,Basic8,Basic1,Basic2,Gavreel Sagebelly
52,SD,214091,1,Knight,Thief,arctic,2,0,4,3,WIS,AGI,12,gardening,,light,4.00,2.00,0.747,Basic8,Advanced4,Basic4,Basic1,Mumiah Gaege
52.1,SD,264946,0,Archer,Monk,swamp,1,2000,3,0,LCK,AGI,12,gardening,,earth,0.80,0.80,0.551,Basic1,Basic1,Basic7,Basic4,Aoibheann Slenlios
52.9,SD,256132,0,Seer,Warrior,plains,1,2000,2,6,AGI,DEX,13,gardening,,lightning,2.30,2.30,0.488,Basic1,Basic2,Basic4,Basic3,Hartoyor Rumblemark
53,SD,254539,0,Monk,Pirate,arctic,1,1860,1,4,END,AGI,11,mining,,wind,2.30,2.30,0.565,Basic6,Basic1,Basic1,Basic5,Nur Autumnflaw
53,SD,208064,0,Archer,Priest,swamp,1,2000,2,2,END,LCK,12,mining,,light,1.20,1.20,0.488,Basic5,Basic6,Basic3,Basic5,Ciara Lowstrider
53,SD,259079,0,Wizard,Wizard,city,1,1233,3,4,STR,WIS,15,fishing,,lightning,0.60,0.60,0.618,Basic8,Basic6,Basic1,Basic5,Vozor Thornwander
53,SD,199933,0,Archer,Monk,swamp,1,994,1,5,STR,WIS,12,gardening,,earth,2.25,2.25,0.536,Basic3,Basic7,Basic7,Basic1,Hestassar Crimdan
53,SD,263024,0,Thief,Warrior,mountains,1,2000,5,4,AGI,WIS,13,mining,,ice,1.40,1.40,0.549,Basic2,Basic4,Basic6,Basic7,Mimab Barner
53,SD,256139,1,Priest,Thief,plains,1,2000,3,6,AGI,END,13,gardening,,dark,1.60,1.60,0.697,Advanced3,Basic7,Basic3,Basic8,Jenny Wyvernsnout
53,SD,241113,0,Thief,Thief,plains,1,2000,4,2,INT,AGI,13,gardening,,water,0.50,0.50,0.581,Basic4,Basic8,Basic3,Basic1,Byrne Commonwhirl
53,SD,262828,0,Thief,Seer,desert,1,1062,2,4,AGI,STR,13,foraging,,earth,1.40,1.40,0.501,Advanced3,Basic2,Basic4,Basic7,Wuensyn Cloudsorrow
53,SD,229253,0,Knight,Wizard,desert,1,1273,1,5,STR,AGI,13,gardening,,fire,1.40,1.40,0.478,Basic4,Basic5,Basic3,Basic8,Sowenik Bronzelight
53,SD,248917,0,DarkKnight,Warrior,arctic,1,0,3,0,AGI,WIS,14,gardening,,fire,0.70,0.70,0.712,Basic4,Basic2,Basic1,Basic2,Fuamnach Havenstriker
53,SD,231988,0,Ninja,Monk,city,2,0,3,0,DEX,INT,15,gardening,,lightning,3.99,2.00,0.687,Basic3,Basic6,Basic2,Basic5,Inuvior Laughingcutter
53,SD,255116,0,Wizard,Berserker,plains,1,306,2,5,INT,DEX,15,fishing,,ice,1.60,1.60,0.454,Basic8,Basic4,Basic5,Basic7,Gasalal Windhorn
53,SD,263505,0,Wizard,Thief,forest,1,2000,2,6,LCK,VIT,12,mining,,fire,0.80,0.80,0.486,Basic1,Basic6,Basic3,Basic1,Frothbrand Springchanter
53,SD,258261,0,Warrior,Monk,plains,1,1779,1,5,END,WIS,11,foraging,,wind,1.95,1.95,0.574,Basic8,Basic1,Basic4,Basic2,Varn Stonebearer
53,SD,252032,1,Monk,Pirate,swamp,1,1400,1,5,STR,DEX,13,gardening,,fire,3.30,3.30,0.765,Basic5,Basic7,Basic3,Basic3,Ahrelion Brightdust
53.2,SD,261885,0,Monk,Priest,arctic,1,2000,4,4,INT,VIT,11,fishing,,light,0.50,0.50,0.517,Advanced3,Basic8,Basic5,Advanced2,Ovirhan Rainbreath
53.5,SD,264579,0,Wizard,Monk,forest,1,2000,3,5,END,END,12,fishing,,dark,1.00,1.00,0.504,Basic2,Basic3,Basic6,Basic2,Demynome Truthward
