https://dfkanalytics.vercel.app/hero

Cost,Realm,Id,Rarity,Class,Subclass,Background,Lvl,XP To Level,Gen,Sum,SB1,SB2,Train Stat,Profession,PJ,Element,Class Score,CScore/Level,Growth Score,Active1,Active2,Passive1,Passive2,Name
45,CV,259566,0,Priest,Warrior,desert,1,1702,2,8,LCK,END,13,foraging,,dark,0.80,0.80,0.483,Basic4,Basic7,Basic8,Basic2,Achona Skyscar
45,CV,265544,1,Thief,Priest,forest,1,1946,2,8,DEX,WIS,11,gardening,,ice,1.95,1.95,0.682,Basic4,Basic1,Basic1,Basic7,Owix J'rexeh
45,CV,250859,0,Priest,Thief,swamp,1,999,2,5,WIS,AGI,17,gardening,,water,2.40,2.40,0.485,Basic3,Basic6,Basic3,Basic8,Enveviar Stewar
46,CV,244170,0,Warrior,Thief,arctic,1,2000,2,7,INT,VIT,12,gardening,,lightning,0.40,0.40,0.573,Basic3,Basic2,Basic4,Basic3,Gloiuzen Turío
46,CV,233221,0,DarkKnight,Archer,forest,3,2945,4,2,VIT,STR,20,gardening,,ice,6.89,2.30,0.723,Basic4,Basic5,Basic7,Basic5,Voqiohr Windbash
47,CV,265173,0,Wizard,Monk,desert,1,2000,3,2,WIS,STR,16,fishing,,ice,3.20,3.20,0.492,Basic8,Basic3,Basic1,Basic2,Emmerson Bolling
48,CV,265257,0,Priest,Wizard,desert,1,1765,2,6,END,STR,13,foraging,,water,1.20,1.20,0.581,Basic8,Basic3,Basic4,Basic1,Cleo Shadeforce
48,CV,265129,1,Wizard,Seer,forest,1,2000,2,1,DEX,LCK,12,gardening,,earth,1.30,1.30,0.784,Basic7,Basic3,Basic7,Basic7,Davion Grassbasher
48,CV,240254,0,Warrior,Warrior,desert,3,3256,3,0,STR,VIT,21,foraging,,fire,6.96,2.32,0.703,Basic8,Basic2,Basic6,Advanced2,Shane Distanthunter
48,CV,224809,0,Wizard,Paladin,desert,1,0,2,3,AGI,LCK,12,foraging,,fire,0.80,0.80,0.579,Basic8,Basic3,Basic4,Basic4,Ubath Driftdrinker
48,CV,222749,0,Berserker,Archer,swamp,3,1675,2,7,END,STR,20,gardening,,fire,5.25,1.75,0.590,Basic1,Basic1,Basic7,Basic8,Hestyl Toxlon
48,CV,233987,0,Berserker,Archer,island,2,0,3,8,VIT,STR,19,gardening,,dark,2.38,1.19,0.590,Basic4,Basic3,Basic7,Basic5,Vohamanah Slynt
49,CV,249574,0,Thief,Thief,city,2,1352,2,2,VIT,AGI,14,mining,,wind,1.54,0.77,0.581,Basic3,Basic6,Advanced1,Basic2,Sian Ataxidos
49,CV,174351,0,Wizard,Thief,city,3,2586,2,6,STR,WIS,18,mining,,ice,4.34,1.45,0.504,Basic2,Basic7,Basic3,Basic7,Datura Burninghair
49,CV,247762,0,Pirate,Archer,plains,2,1546,3,3,STR,LCK,14,mining,,earth,2.42,1.21,0.577,Basic8,Basic7,Basic8,Basic8,Agdi Birchheart
49,CV,249154,0,Thief,Monk,mountains,2,2746,3,5,STR,LCK,14,mining,,earth,1.80,0.90,0.554,Basic5,Basic4,Basic8,Basic1,Haddirn Sacredblood
49,CV,256345,0,Pirate,Monk,city,1,0,2,6,LCK,VIT,13,mining,,wind,1.10,1.10,0.565,Basic3,Basic8,Basic7,Basic2,Unor Fistward
49,CV,244109,1,Monk,Summoner,swamp,2,1140,3,5,LCK,VIT,12,mining,,fire,2.75,1.38,0.779,Basic4,Basic3,Basic6,Basic8,Endene Honn
49,CV,249738,0,Thief,Archer,desert,2,1606,2,2,AGI,AGI,18,mining,,lightning,2.84,1.42,0.557,Advanced3,Basic3,Basic6,Basic4,Fram Wyvernsnout
49,CV,249569,0,Priest,Seer,island,2,1532,2,4,INT,INT,19,mining,,fire,3.56,1.78,0.597,Basic7,Basic4,Basic4,Basic3,Vozor Driftdancer
49,CV,246813,0,Thief,Pirate,arctic,2,1382,5,1,AGI,AGI,17,mining,,fire,2.49,1.25,0.578,Basic5,Basic6,Basic3,Basic8,Bles Thunzilla
49,CV,256994,0,Archer,Berserker,plains,1,106,4,1,END,END,13,mining,,light,1.20,1.20,0.579,Basic2,Basic8,Basic8,Basic8,Olzoveus Warpede
49,CV,249313,0,Monk,Pirate,plains,2,1566,2,5,VIT,DEX,11,mining,,light,1.25,0.63,0.565,Basic3,Basic4,Basic5,Basic4,Zarnidoc Crowlin
49,CV,252719,0,Archer,Priest,forest,2,2206,2,5,LCK,LCK,14,mining,,lightning,2.21,1.10,0.488,Basic5,Basic5,Basic4,Basic2,Latboh Barda
49,CV,244193,0,Monk,Wizard,island,2,1006,1,4,STR,DEX,12,mining,,light,1.96,0.98,0.510,Basic5,Basic8,Basic2,Basic1,Das Barner
49,CV,228963,0,Archer,Warrior,mountains,2,158,2,4,END,AGI,13,mining,,light,3.42,1.71,0.582,Basic3,Basic6,Basic1,Basic6,Idrenaxx Hayard
49,CV,249545,0,Monk,Priest,island,2,2162,2,7,LCK,DEX,12,mining,,earth,3.26,1.63,0.517,Basic5,Advanced4,Basic8,Basic4,Vigvar Croguma
49,CV,249318,0,Priest,Monk,swamp,2,1532,2,5,INT,LCK,15,mining,,light,4.06,2.03,0.505,Basic6,Basic5,Basic8,Basic2,Heledd Pyrelance
49,CV,190195,0,Wizard,Ninja,swamp,4,2339,1,5,END,END,18,mining,,wind,10.86,2.71,0.585,Basic6,Basic5,Advanced2,Basic1,Phidove Grizran
49,CV,238296,0,Thief,Thief,arctic,2,0,3,3,STR,VIT,15,mining,,dark,5.25,2.63,0.613,Basic8,Basic1,Basic7,Basic2,Domenic Redash
49,CV,249022,0,Thief,Ninja,plains,2,1252,3,1,END,DEX,12,mining,,ice,3.59,1.79,0.625,Basic8,Advanced1,Basic4,Basic2,Anastenia Levigon
49,CV,248270,0,Archer,Thief,desert,2,1304,3,3,VIT,END,13,mining,,water,5.62,2.81,0.551,Basic6,Basic7,Basic8,Basic7,Briza Ravenbend
49,CV,244161,1,Monk,Priest,city,2,1104,3,5,AGI,WIS,12,mining,,wind,2.21,1.10,0.711,Basic4,Basic3,Basic1,Basic2,Glastren Truththorne
49,CV,241948,0,Thief,Pirate,mountains,2,588,3,2,VIT,VIT,13,mining,,wind,4.50,2.25,0.610,Basic6,Basic1,Basic6,Basic7,Jason Flamebrow
49,CV,251813,0,Archer,DarkKnight,swamp,2,2146,3,3,WIS,DEX,16,mining,,wind,2.82,1.41,0.629,Basic5,Basic4,Basic5,Basic1,Harmon Deepfang
49,CV,250031,0,Seer,DarkKnight,desert,2,2664,3,0,LCK,END,14,mining,,ice,2.71,1.35,0.575,Basic7,Basic6,Basic7,Advanced4,Alnwar Fallreign
49,CV,176110,0,Monk,Archer,plains,3,1070,1,3,LCK,LCK,16,mining,,earth,4.71,1.57,0.539,Basic6,Advanced3,Basic6,Basic6,Carnelia Griegami
49,CV,247736,0,Pirate,Archer,city,2,1100,3,1,DEX,AGI,13,mining,,water,2.03,1.01,0.574,Basic2,Basic1,Basic5,Advanced3,Yilthon Flameflaw
49,CV,248264,0,Monk,Wizard,forest,2,1610,2,5,VIT,AGI,13,mining,,ice,3.25,1.63,0.510,Basic8,Advanced1,Basic7,Basic2,Mima Brookbraids
49,CV,170803,0,Monk,Monk,city,3,2508,1,5,STR,AGI,13,mining,,dark,2.91,0.97,0.572,Basic1,Basic6,Basic3,Basic7,Grogdint Mossgaze
49,CV,253504,0,Thief,Berserker,city,2,2166,2,1,LCK,VIT,13,mining,,wind,1.75,0.88,0.563,Basic5,Basic5,Basic3,Basic1,Bjorn Pinebreaker
49,CV,240833,0,Archer,Warrior,forest,3,3766,3,5,DEX,WIS,18,mining,,light,4.88,1.63,0.567,Basic8,Advanced1,Basic7,Basic2,Ramsay Crownjin
49,CV,249410,0,Archer,Archer,swamp,2,1364,2,4,WIS,DEX,15,mining,,wind,3.27,1.64,0.594,Basic3,Basic7,Basic5,Basic1,Elatrix Cobanula
49,CV,247620,0,Monk,Priest,island,2,1718,2,1,DEX,VIT,12,mining,,light,1.95,0.97,0.517,Basic2,Basic1,Basic6,Basic5,Onezin Horsesurge
49,CV,250500,0,Priest,Archer,swamp,2,2100,6,0,LCK,STR,16,mining,,light,5.66,2.83,0.514,Basic1,Basic8,Basic3,Basic1,Sanelar Lunaspear
49,CV,241941,0,Archer,DarkKnight,swamp,2,876,2,4,STR,VIT,13,mining,,lightning,2.27,1.14,0.611,Basic6,Basic6,Basic6,Basic5,Reinwald Serpentstriker
49,CV,257964,0,Pirate,Monk,desert,1,504,2,2,END,WIS,10,mining,,fire,1.10,1.10,0.541,Basic6,Basic1,Basic2,Basic7,Berten Krey
49,CV,247863,0,Summoner,Wizard,swamp,2,1286,3,0,DEX,WIS,20,mining,,fire,5.99,3.00,0.847,Basic8,Basic3,Basic7,Basic1,Reyfiel Emerazilla
49,CV,249444,0,Wizard,Priest,island,2,1552,3,6,END,INT,16,mining,,lightning,2.62,1.31,0.611,Basic1,Basic3,Basic7,Basic7,Ackerley Tallfallow
49,CV,187420,0,Priest,Summoner,forest,2,106,2,5,END,DEX,15,mining,,water,3.36,1.68,0.632,Basic3,Basic7,Basic7,Basic1,Destini Silentdust
49,CV,249887,0,Priest,Knight,island,2,1502,3,3,INT,STR,15,mining,,ice,2.86,1.43,0.483,Basic5,Advanced3,Basic7,Basic8,Pizophil Wintersmirk
49,CV,243062,1,Thief,Seer,desert,2,2756,2,5,INT,LCK,14,mining,,earth,3.20,1.60,0.707,Basic4,Basic3,Basic2,Basic2,Ailionora Driftforce
49,CV,247800,0,Archer,Pirate,forest,2,1032,2,5,LCK,VIT,13,mining,,dark,2.67,1.33,0.574,Basic5,Basic1,Advanced4,Basic1,Dentaria Tascer
49,CV,249730,0,Monk,Monk,desert,2,2776,2,8,WIS,INT,11,mining,,earth,4.15,2.08,0.551,Advanced3,Basic6,Basic8,Basic3,Albert Swiftwing
49,CV,178766,0,Wizard,Archer,swamp,2,1576,2,5,VIT,INT,16,mining,,water,1.52,0.76,0.507,Basic2,Basic6,Basic4,Basic4,Joe Grizzlybane
49,CV,198531,0,Archer,Berserker,swamp,2,2060,2,3,END,VIT,12,mining,,wind,0.01,0.01,0.573,Basic5,Basic4,Basic6,Basic2,Ricmar Yewchaser
49,CV,236886,0,Monk,Priest,city,3,2258,2,5,END,VIT,13,mining,,wind,6.26,2.09,0.517,Basic3,Basic2,Basic4,Basic4,Dynion Autumnscorn
49,CV,203127,0,Archer,Knight,forest,3,1044,1,4,VIT,WIS,15,mining,,lightning,6.73,2.24,0.554,Basic7,Basic6,Advanced3,Basic5,Ron Cragvalor
49,CV,227608,0,Wizard,Archer,arctic,2,0,3,3,STR,DEX,13,mining,,light,0.62,0.31,0.477,Advanced3,Basic7,Basic8,Basic7,Ufeon Waynwood
49,CV,186633,0,Priest,Archer,island,2,40,2,7,LCK,INT,15,mining,,water,3.26,1.63,0.506,Basic4,Basic5,Basic5,Basic7,Sreyah Evenbraid
49,CV,244859,1,Archer,Wizard,swamp,2,2146,3,7,VIT,AGI,13,mining,,dark,3.81,1.91,0.689,Basic6,Basic6,Basic5,Basic4,Gormild Roughglide
49,CV,236258,0,Archer,Berserker,city,2,134,2,5,END,END,14,mining,,wind,3.57,1.78,0.579,Basic6,Basic7,Basic2,Advanced3,Torkrana Fourglide
49,CV,248293,0,Archer,Monk,desert,2,966,2,4,AGI,LCK,13,mining,,earth,2.76,1.38,0.545,Basic4,Basic8,Basic2,Basic3,Igna Falllove
49,CV,248167,0,Summoner,Wizard,swamp,2,1134,4,0,END,END,17,mining,,light,4.04,2.02,0.746,Basic4,Basic6,Basic6,Basic5,Ganrol Bonekiller
49,CV,248655,0,Pirate,Warrior,plains,2,1062,2,3,END,INT,11,mining,,light,1.88,0.94,0.583,Advanced3,Basic3,Basic6,Basic3,Inaquam Marshvigor
49,CV,246794,0,Archer,Summoner,city,2,1056,3,3,STR,DEX,16,mining,,earth,2.01,1.00,0.578,Basic8,Basic4,Basic4,Basic6,Layla Smithe
49,CV,251637,0,Priest,Wizard,island,2,2654,2,8,STR,LCK,14,mining,,ice,1.96,0.98,0.587,Basic3,Basic1,Basic5,Basic1,Flaerel Stormarm
49,CV,248177,0,Pirate,Monk,island,2,1016,3,3,STR,AGI,13,mining,,ice,3.27,1.64,0.559,Basic8,Basic4,Basic3,Basic2,Antile Croria
49.5,CV,240937,1,Thief,Archer,arctic,2,966,4,1,DEX,DEX,15,mining,,dark,6.85,3.42,0.784,Basic7,Advanced1,Advanced1,Basic8,Carrorn Grayhelm
49.8,CV,196682,0,Ninja,Knight,swamp,2,0,1,0,AGI,WIS,16,foraging,,water,5.88,2.94,0.665,Basic3,Basic2,Basic1,Basic6,Matbayn Snowlash
49.9,CV,220163,0,Wizard,Warrior,forest,2,0,3,3,END,END,15,foraging,,wind,4.62,2.31,0.466,Basic5,Basic8,Basic1,Basic7,Talrith Aspenguard
49.99,CV,249882,0,Warrior,Wizard,mountains,1,493,3,6,VIT,DEX,12,fishing,,earth,1.30,1.30,0.493,Basic3,Basic6,Basic4,Basic6,Esius Burningrage
49.99,CV,250763,0,Monk,Warrior,forest,1,635,2,5,INT,WIS,11,fishing,,wind,0.50,0.50,0.573,Basic4,Advanced2,Basic1,Basic8,Heimdam Dawngloom
49.99,CV,247954,0,Wizard,Archer,forest,1,65,3,8,AGI,END,12,fishing,,ice,0.80,0.80,0.489,Basic5,Basic8,Basic4,Basic6,Halt Taoich
50,CV,262662,0,Summoner,Priest,city,1,1677,4,1,DEX,VIT,14,mining,,light,0.90,0.90,0.736,Basic6,Basic3,Basic2,Basic3,Shubeus Screerugon
50,CV,263113,0,Warrior,Archer,plains,1,1434,2,8,INT,LCK,11,foraging,,dark,0.40,0.40,0.579,Basic3,Basic2,Basic8,Basic4,Raoingasúi Glowbinder
50,CV,242031,0,Wizard,Berserker,arctic,1,2000,2,8,AGI,END,12,gardening,,lightning,0.80,0.80,0.466,Basic7,Basic6,Basic5,Basic3,Yahoel Bruhara
50,CV,257315,0,Priest,Ninja,city,1,1715,2,6,LCK,AGI,14,mining,,wind,1.60,1.60,0.553,Basic1,Basic4,Basic4,Basic4,Myraea Hallowsplitter
50,CV,262210,1,Thief,Pirate,mountains,1,1767,3,3,END,VIT,10,mining,,dark,1.75,1.75,0.766,Basic4,Basic6,Basic6,Basic2,Bodmodr Brownshield
50,CV,263311,0,Berserker,Knight,mountains,1,1946,2,7,AGI,END,14,foraging,,wind,1.10,1.10,0.612,Basic5,Basic2,Basic8,Basic7,Presrieth Mistcaller
50,CV,234985,0,Priest,Archer,mountains,3,3174,3,6,WIS,VIT,21,foraging,,lightning,5.42,1.81,0.494,Basic2,Basic3,Basic2,Basic5,Dynion Screeros
50,CV,243980,1,Knight,Thief,plains,2,656,1,3,DEX,VIT,15,foraging,,wind,5.25,2.63,0.765,Basic8,Basic2,Basic8,Basic1,Shoftiel Cragbelly
50,CV,250578,0,Warrior,Thief,forest,2,2110,3,0,VIT,WIS,12,mining,,lightning,1.93,0.96,0.546,Basic4,Basic2,Basic6,Basic7,Brornold Holyvigor
50,CV,251915,0,Wizard,Monk,swamp,1,2000,2,4,INT,DEX,15,gardening,,ice,1.60,1.60,0.492,Basic6,Basic6,Basic2,Basic7,Vynaan Elfbrand
50,CV,220441,0,Berserker,Wizard,swamp,3,840,2,9,STR,DEX,20,gardening,,earth,3.95,1.32,0.472,Basic2,Basic7,Basic2,Basic7,Catherine Farman
50,CV,247334,1,Thief,Thief,mountains,1,1295,2,8,STR,WIS,11,gardening,,wind,1.95,1.95,0.760,Basic4,Basic8,Basic6,Basic4,Yuldam Stonehair
50,CV,244888,0,Priest,Summoner,forest,1,1851,2,4,AGI,VIT,13,fishing,,light,0.80,0.80,0.644,Basic7,Basic3,Basic6,Basic2,Iqirax Hydragem
50,CV,260699,0,Wizard,Priest,city,1,1726,2,4,VIT,INT,15,gardening,,wind,1.80,1.80,0.611,Basic8,Basic8,Basic4,Basic4,Uqaah Bronzelight
50,CV,243922,0,Thief,Pirate,mountains,1,1745,2,6,END,INT,10,mining,,light,0.90,0.90,0.551,Basic1,Basic1,Basic7,Basic2,Daralis Brownmask
50,CV,264222,1,Pirate,Wizard,plains,1,1734,2,4,STR,STR,15,fishing,,fire,2.15,2.15,0.676,Basic2,Basic1,Basic3,Basic3,Vhassoyor Doggett
50,CV,257055,0,Pirate,Knight,mountains,1,0,3,7,AGI,LCK,13,foraging,,fire,1.00,1.00,0.594,Advanced3,Basic5,Basic4,Basic8,Holt Mapleprowl
50,CV,254713,0,Knight,Priest,arctic,1,1467,2,6,STR,LCK,13,gardening,,dark,1.40,1.40,0.486,Basic4,Basic6,Basic4,Basic4,Hamomril Grassbrook
50,CV,186189,0,Wizard,Wizard,forest,1,0,3,1,AGI,DEX,12,mining,,wind,0.80,0.80,0.588,Basic3,Basic6,Basic2,Basic2,Soddidoc Lighthell
50,CV,227126,0,Warrior,Knight,arctic,2,2082,1,2,VIT,LCK,14,mining,,ice,6.83,3.42,0.626,Basic7,Basic3,Basic4,Basic3,Ismaste Marbleaxe
50,CV,260281,0,Priest,Archer,city,1,453,1,5,INT,WIS,16,foraging,,wind,2.20,2.20,0.512,Basic5,Basic3,Basic4,Basic4,Busom Deathdancer
52,CV,264730,0,Summoner,Pirate,mountains,1,1903,3,1,AGI,AGI,14,mining,,ice,1.00,1.00,0.610,Basic7,Basic6,Basic6,Basic7,Uvijahr Cataclyrappa
52,CV,245793,0,Thief,Archer,city,2,2457,1,6,LCK,INT,17,foraging,,ice,7.35,3.67,0.574,Basic6,Basic6,Basic7,Basic8,Vulvar Sól
52,CV,258843,0,Priest,Monk,swamp,1,1730,2,5,VIT,INT,14,mining,,wind,1.80,1.80,0.523,Basic1,Basic4,Basic4,Basic8,Holdmund Wyvernbough
52,CV,266142,0,Wizard,Monk,mountains,1,1903,3,1,END,STR,12,foraging,,dark,1.00,1.00,0.492,Basic2,Basic1,Basic6,Basic3,Faenyrion Peacestriker
52.99,CV,255594,1,Monk,Wizard,desert,1,1396,2,3,LCK,VIT,12,mining,,lightning,1.70,1.70,0.710,Basic2,Advanced2,Basic7,Basic8,Presralei Hailmask
53,CV,244014,1,DarkKnight,Pirate,city,2,1255,3,1,STR,VIT,20,gardening,,wind,8.00,4.00,1.045,Basic2,Basic2,Basic5,Basic4,Aegale Cobadius
54,CV,245183,0,Priest,Wizard,city,2,161,3,4,STR,VIT,15,foraging,,water,5.66,2.83,0.641,Basic8,Basic2,Advanced1,Basic1,Buqam Deadgazer
54,CV,262474,2,Warrior,Warrior,desert,1,1624,4,0,LCK,VIT,12,gardening,,wind,2.50,2.50,1.028,Basic2,Basic8,Basic5,Basic6,Rorrilt Snowbraider
54.99,CV,255349,0,Monk,Pirate,desert,1,1190,2,3,WIS,LCK,12,gardening,,wind,1.80,1.80,0.547,Basic7,Basic7,Basic5,Basic7,Asvard Blackvalor
55,CV,263518,0,Ninja,Monk,city,1,2000,3,0,END,END,16,gardening,,light,4.20,4.20,0.758,Basic6,Basic3,Basic2,Basic4,Ugeneth Farrowdust
55,CV,265074,1,Priest,Thief,arctic,1,2000,3,2,VIT,AGI,14,mining,,fire,3.20,3.20,0.685,Basic6,Basic7,Basic7,Basic8,Fleming Fullleaf
55,CV,255635,1,Archer,Knight,city,1,1224,4,0,WIS,END,12,fishing,,lightning,1.50,1.50,0.775,Basic8,Basic7,Basic5,Basic7,Eudestra Savalios
55,CV,245604,0,Seer,Monk,mountains,1,1911,3,3,AGI,LCK,13,foraging,,dark,1.40,1.40,0.507,Basic1,Basic1,Basic8,Advanced1,Megamene Brurola
55,CV,137892,1,Monk,Knight,island,1,2000,2,9,END,INT,12,gardening,,light,2.25,2.25,0.756,Basic8,Basic4,Basic7,Basic7,Bushab Woodenbrace
55,CV,167089,1,Priest,Wizard,swamp,6,7654,1,0,END,STR,22,mining,,wind,14.80,2.47,0.829,Basic4,Basic1,Basic1,Basic2,Nur Hersy
55,CV,243516,1,Archer,Priest,forest,1,1549,2,3,END,STR,12,fishing,,dark,2.10,2.10,0.697,Basic8,Basic8,Basic6,Basic2,Donnirn Richspell
